aX,aY,aZ,gX,gY,gZ
-0.411,-0.482,1.242,-14.465,-19.958,5.920
-0.392,-0.478,1.227,-20.813,-12.512,7.446
-0.424,-0.463,1.189,-27.405,-7.141,3.845
-0.466,-0.445,1.160,-32.227,-6.409,0.244
-0.503,-0.419,1.154,-37.415,-7.324,-4.272
-0.525,-0.403,1.143,-43.213,-7.507,-8.606
-0.552,-0.356,1.132,-48.584,-6.958,-11.353
-0.576,-0.303,1.106,-50.537,-3.784,-11.902
-0.609,-0.264,1.081,-49.805,3.967,-13.000
-0.653,-0.233,1.046,-48.767,12.573,-14.404
-0.688,-0.236,0.991,-49.011,20.813,-17.944
-0.701,-0.220,0.977,-51.636,27.466,-25.330
-0.719,-0.215,0.950,-52.429,28.320,-30.762
-0.713,-0.202,0.940,-54.626,27.771,-35.889
-0.716,-0.185,0.933,-57.617,27.222,-39.917
-0.725,-0.174,0.914,-59.875,26.978,-42.725
-0.726,-0.152,0.887,-62.012,28.809,-44.373
-0.761,-0.125,0.853,-62.622,30.945,-46.509
-0.778,-0.098,0.838,-63.293,33.691,-52.307
-0.760,-0.090,0.809,-64.880,37.781,-62.378
-0.728,-0.079,0.765,-67.200,41.443,-71.533
-0.710,-0.086,0.729,-67.810,43.335,-77.454
-0.688,-0.099,0.703,-67.017,43.762,-82.947
-0.660,-0.102,0.691,-67.017,43.640,-88.135
-0.629,-0.115,0.675,-68.420,43.945,-92.712
-0.590,-0.128,0.645,-70.862,44.800,-96.252
-0.553,-0.131,0.613,-73.242,45.532,-98.633
-0.519,-0.134,0.585,-74.219,46.143,-100.098
-0.487,-0.124,0.558,-75.012,46.814,-100.830
-0.464,-0.111,0.537,-75.867,46.509,-101.807
-0.420,-0.096,0.526,-78.369,46.448,-104.248
-0.367,-0.088,0.500,-80.627,44.678,-105.591
-0.352,-0.085,0.476,-82.397,40.649,-104.370
-0.353,-0.080,0.471,-84.106,36.316,-104.431
-0.355,-0.079,0.470,-86.182,32.837,-108.521
-0.343,-0.081,0.452,-89.417,30.029,-115.112
-0.303,-0.088,0.415,-92.957,29.663,-121.643
-0.264,-0.098,0.361,-93.750,31.250,-125.549
-0.230,-0.109,0.304,-89.905,34.119,-125.977
-0.195,-0.104,0.253,-81.604,37.903,-124.878
-0.167,-0.102,0.203,-69.824,42.114,-123.230
-0.132,-0.101,0.157,-56.335,47.729,-121.460
-0.097,-0.104,0.116,-41.687,55.115,-120.361
-0.062,-0.118,0.078,-28.259,62.256,-119.446
-0.030,-0.142,0.057,-18.372,65.857,-120.789
0.025,-0.169,0.046,-16.541,62.317,-125.610
0.099,-0.203,0.031,-24.841,49.377,-131.897
0.178,-0.261,0.015,-38.574,28.503,-136.353
0.245,-0.294,-0.010,-51.453,5.371,-136.963
0.318,-0.326,-0.022,-57.983,-13.794,-135.925
