aX,aY,aZ,gX,gY,gZ
-0.421,0.646,1.289,80.566,29.114,-18.799
-0.449,0.721,1.413,88.135,38.330,-28.564
-0.457,0.725,1.516,91.553,50.110,-39.307
-0.425,0.682,1.603,93.262,62.988,-51.880
-0.423,0.588,1.635,95.520,74.341,-63.416
-0.354,0.492,1.588,97.534,87.158,-74.280
-0.342,0.431,1.544,101.624,95.947,-83.069
-0.331,0.388,1.451,106.506,103.455,-91.248
-0.257,0.315,1.329,109.314,110.840,-100.098
-0.199,0.215,1.241,109.924,107.361,-110.229
-0.126,0.092,1.174,105.347,100.891,-118.774
-0.019,-0.042,1.114,97.229,97.656,-123.779
0.054,-0.102,1.096,93.872,85.388,-130.859
0.122,-0.193,1.132,95.764,62.988,-127.808
0.140,-0.363,1.177,95.093,47.729,-123.047
0.163,-0.435,1.205,87.158,53.711,-118.103
0.215,-0.474,1.179,78.430,70.007,-113.159
0.235,-0.504,1.105,67.810,86.853,-108.459
0.282,-0.509,1.013,54.626,98.267,-108.093
0.283,-0.528,0.993,49.255,86.304,-110.474
0.327,-0.599,1.024,41.260,76.477,-109.802
0.333,-0.658,1.093,30.273,71.350,-109.680
0.354,-0.736,1.123,19.775,71.594,-110.046
0.393,-0.850,1.166,11.108,71.655,-108.765
0.390,-0.924,1.135,7.568,71.594,-105.286
0.394,-0.993,1.089,11.597,73.181,-101.196
0.393,-0.975,1.065,20.508,76.782,-97.656
0.365,-0.899,1.044,28.137,82.764,-95.032
0.352,-0.851,1.065,27.710,87.830,-93.811
0.293,-0.852,1.070,14.832,91.003,-92.651
0.424,-0.777,1.020,-8.179,94.177,-92.468
0.341,-0.797,1.001,-31.067,77.820,-88.623
0.294,-0.806,0.963,-57.251,74.036,-88.928
0.306,-0.796,0.936,-83.618,89.355,-91.492
0.327,-0.761,0.932,-107.361,102.661,-91.675
0.352,-0.809,0.936,-124.084,105.225,-89.905
0.364,-0.843,1.009,-132.019,103.394,-88.013
0.371,-0.894,1.115,-123.596,99.060,-84.229
0.330,-0.914,1.122,-100.220,99.182,-80.322
0.277,-0.871,1.033,-72.266,106.873,-76.965
0.235,-0.817,0.920,-50.049,117.188,-76.965
0.226,-0.778,0.811,-40.039,124.573,-78.979
0.220,-0.753,0.771,-39.063,120.605,-81.360
0.237,-0.822,0.749,-40.955,108.093,-83.313
0.268,-0.917,0.750,-45.410,95.398,-82.703
0.288,-0.985,0.753,-50.842,84.656,-73.242
0.238,-0.994,0.707,-49.438,81.116,-63.232
0.226,-1.026,0.604,-38.757,86.304,-56.763
0.215,-1.075,0.552,-27.222,94.727,-52.307
0.240,-1.131,0.553,-15.564,103.760,-49.561
0.286,-1.195,0.562,-2.441,114.380,-50.842
0.316,-1.260,0.556,6.104,125.183,-52.124
0.287,-1.269,0.561,9.033,136.658,-50.659
0.281,-1.263,0.549,13.794,146.484,-43.091
0.383,-1.335,0.481,20.142,154.114,-26.367
0.414,-1.387,0.417,18.860,156.250,-8.911
0.426,-1.421,0.364,13.916,154.724,5.859
0.434,-1.436,0.290,12.207,151.855,20.813
0.458,-1.425,0.218,12.756,149.048,35.889
0.467,-1.385,0.175,15.198,145.142,50.293
0.468,-1.308,0.144,19.775,139.465,62.500
0.445,-1.215,0.112,24.658,132.263,72.693
0.434,-1.115,0.064,26.672,124.634,81.665
0.419,-1.025,0.001,25.024,117.249,88.623
0.376,-0.934,-0.051,19.836,109.253,93.628
0.373,-0.883,-0.085,16.357,100.952,96.802
0.359,-0.854,-0.088,15.259,94.360,100.342
0.341,-0.840,-0.110,15.503,90.027,104.187
0.329,-0.878,-0.120,16.663,88.806,108.459
0.316,-0.894,-0.085,17.822,89.172,113.953
0.300,-0.871,-0.074,21.118,91.980,118.530
0.257,-0.766,-0.059,25.330,96.436,122.864
0.231,-0.660,-0.073,31.067,98.389,123.718
0.219,-0.601,-0.098,39.063,89.233,122.864
0.184,-0.544,-0.092,44.006,70.862,123.657
