aX,aY,aZ,gX,gY,gZ
-0.690,0.622,1.414,25.696,-7.812,-5.615
-0.752,0.678,1.577,25.085,-3.540,-17.090
-0.786,0.695,1.747,22.034,3.906,-30.212
-0.770,0.650,1.750,22.034,20.264,-43.823
-0.694,0.579,1.719,26.550,36.865,-56.641
-0.580,0.473,1.684,35.889,52.551,-67.383
-0.452,0.328,1.643,52.002,67.749,-74.463
-0.318,0.219,1.617,72.388,81.787,-78.857
-0.197,0.141,1.527,89.172,93.384,-80.566
-0.084,0.065,1.448,96.985,100.159,-82.031
0.031,-0.028,1.380,96.802,99.670,-85.205
0.132,-0.113,1.333,85.449,93.262,-88.867
0.226,-0.212,1.328,63.477,80.811,-93.994
0.301,-0.322,1.375,36.865,63.599,-100.708
0.350,-0.427,1.516,8.850,42.786,-109.070
0.421,-0.572,1.615,-15.442,32.349,-110.352
0.433,-0.630,1.644,-33.936,27.466,-109.680
0.395,-0.615,1.631,-42.480,24.658,-108.459
0.391,-0.664,1.655,-47.546,21.484,-109.497
0.385,-0.663,1.654,-56.580,19.592,-110.718
0.383,-0.688,1.750,-65.918,16.907,-113.098
0.384,-0.793,1.871,-76.294,16.602,-117.188
0.403,-0.890,1.842,-92.407,24.536,-118.225
0.420,-0.989,1.766,-104.980,35.767,-116.821
0.425,-1.044,1.624,-112.854,46.692,-113.464
0.425,-1.083,1.419,-116.821,57.556,-109.253
0.448,-1.181,1.339,-115.906,63.965,-104.187
0.459,-1.257,1.395,-108.948,68.604,-96.252
0.448,-1.280,1.296,-97.778,81.238,-85.388
0.411,-1.295,1.119,-85.083,95.703,-74.158
0.360,-1.346,0.988,-74.219,104.004,-64.697
0.343,-1.444,0.857,-70.496,107.117,-57.312
0.343,-1.578,0.833,-76.233,105.103,-48.401
0.344,-1.706,0.983,-88.196,99.548,-36.011
0.325,-1.821,1.119,-98.389,100.647,-20.935
0.295,-1.841,1.063,-101.318,111.145,-3.662
0.240,-1.773,0.863,-95.093,125.488,13.977
0.198,-1.742,0.615,-83.862,134.644,30.823
