aX,aY,aZ,gX,gY,gZ
0.540,0.364,1.404,52.124,-5.920,10.559
0.641,0.432,1.480,52.551,-11.902,10.010
0.724,0.493,1.559,51.086,-19.958,10.010
0.776,0.605,1.657,48.767,-28.748,13.245
0.831,0.779,1.761,47.058,-36.438,19.958
0.926,0.989,1.841,43.457,-40.161,25.574
1.033,1.195,1.862,37.354,-39.001,28.870
1.088,1.372,1.792,30.151,-35.767,33.875
1.046,1.475,1.657,24.231,-35.767,41.321
0.897,1.538,1.520,18.250,-43.030,45.288
0.694,1.602,1.395,8.728,-56.763,41.809
0.484,1.598,1.272,-7.385,-75.500,27.832
0.255,1.569,1.177,-27.649,-98.206,8.240
-0.018,1.562,1.101,-50.171,-120.483,-8.545
-0.413,1.509,0.998,-72.632,-136.902,-24.536
-0.934,1.376,0.834,-88.745,-146.423,-42.053
-1.391,1.100,0.602,-96.313,-149.658,-64.758
-1.795,0.793,0.401,-93.628,-152.344,-89.050
-2.208,0.468,0.229,-70.374,-143.677,-115.906
-2.442,0.092,0.073,-31.982,-131.592,-147.461
-2.576,-0.422,-0.043,16.174,-119.080,-185.303
-2.643,-1.171,-0.082,72.815,-106.079,-224.182
-2.672,-2.132,-0.031,128.113,-91.858,-261.841
-2.528,-3.183,0.055,169.678,-75.378,-299.866
-2.124,-4.000,0.275,199.707,-53.223,-327.820
-1.361,-4.000,0.718,226.196,-12.695,-329.834
-0.241,-4.000,1.190,242.676,73.425,-297.729
1.121,-4.000,1.351,240.479,206.604,-231.445
2.114,-4.000,0.840,217.102,349.670,-124.451
2.539,-4.000,0.073,170.532,438.721,9.888
2.168,-3.238,-0.739,101.501,420.471,139.465
1.231,-2.239,-1.154,29.602,301.270,232.117
0.187,-1.567,-1.030,-14.648,129.883,261.108
-0.719,-1.205,-0.455,-39.856,-38.940,234.497
-1.276,-1.110,0.186,-65.369,-159.424,180.542
-1.535,-1.230,0.681,-87.585,-217.651,128.540
-1.616,-1.428,0.924,-89.111,-211.426,96.375
-1.555,-1.682,1.000,-71.655,-156.250,86.304
-1.494,-1.823,0.950,-52.856,-81.116,98.938
-1.504,-1.805,0.719,-43.945,-8.606,122.437
-1.456,-1.687,0.450,-38.879,44.556,140.198
-1.394,-1.547,0.135,-35.950,72.571,148.376
-1.298,-1.357,-0.101,-33.325,71.594,148.865
-1.218,-1.129,-0.148,-23.071,48.706,144.958
-1.190,-0.936,-0.049,-9.949,19.897,136.230
-1.143,-0.748,0.104,-3.906,-4.089,118.835
-1.031,-0.598,0.219,-8.667,-20.447,95.459
-0.856,-0.464,0.310,-20.325,-31.921,75.317
-0.694,-0.323,0.395,-32.104,-39.673,65.308
-0.589,-0.146,0.425,-39.551,-39.551,64.758
-0.555,0.134,0.465,-36.255,-30.334,67.139
-0.489,0.411,0.479,-24.536,-14.160,63.049
-0.360,0.596,0.450,-13.184,-0.610,47.974
-0.194,0.722,0.426,-5.249,2.808,28.442
0.006,0.811,0.476,0.732,-1.038,7.385
0.183,0.893,0.578,2.014,-8.179,-11.414
0.302,0.970,0.726,-2.747,-16.724,-25.635
0.421,1.152,0.976,-8.789,-26.245,-34.363
0.483,1.340,1.157,-10.193,-25.940,-41.565
0.516,1.419,1.173,-1.770,-12.146,-49.316
0.567,1.375,1.161,20.996,5.737,-57.983
0.616,1.228,1.190,50.842,20.813,-62.683
0.686,1.004,1.276,73.059,28.259,-63.232
0.736,0.715,1.440,82.336,26.062,-59.692
0.755,0.432,1.576,76.111,19.226,-51.880
0.764,0.261,1.674,60.242,15.076,-41.138
0.748,0.156,1.637,41.748,16.296,-28.259
0.690,0.072,1.533,25.574,17.151,-14.587
0.601,0.014,1.445,14.526,11.597,-4.211
0.508,-0.059,1.371,7.141,1.953,0.671
0.438,-0.138,1.317,4.456,-6.470,2.502
0.370,-0.219,1.277,6.897,-11.780,3.601
0.301,-0.271,1.260,12.512,-12.817,4.944
0.256,-0.333,1.261,18.188,-10.742,6.592
0.222,-0.369,1.285,18.860,-9.277,10.437
0.142,-0.411,1.287,11.230,-7.935,16.602
0.083,-0.406,1.288,-0.122,-5.310,23.560
0.010,-0.372,1.255,-10.010,0.122,28.687
-0.043,-0.337,1.191,-18.555,7.263,32.349
-0.090,-0.297,1.115,-23.682,12.573,33.569
-0.114,-0.261,1.021,-26.001,14.771,30.884
-0.119,-0.242,0.943,-27.222,14.404,25.085
-0.119,-0.233,0.885,-26.489,11.475,18.188
-0.105,-0.243,0.855,-23.315,8.606,12.329
-0.079,-0.270,0.844,-18.494,7.751,8.423
-0.046,-0.294,0.860,-12.939,8.484,7.629
-0.040,-0.292,0.882,-8.728,11.108,9.155
-0.033,-0.279,0.887,-6.042,15.320,9.705
-0.020,-0.269,0.877,-5.371,19.104,8.606
-0.024,-0.251,0.862,-6.226,19.104,6.165
-0.006,-0.246,0.840,-6.348,16.174,2.014
0.004,-0.253,0.838,-4.578,12.329,-2.319
0.029,-0.272,0.849,-1.221,7.874,-5.249
0.055,-0.297,0.864,3.540,6.348,-6.531
0.091,-0.318,0.889,8.667,5.798,-5.920
0.117,-0.315,0.918,13.000,6.470,-3.784
0.130,-0.314,0.931,14.587,7.324,-1.831
0.149,-0.321,0.949,14.771,7.385,-0.671
0.155,-0.324,0.963,13.062,7.080,0.244
0.156,-0.329,0.977,9.949,5.920,0.854
0.160,-0.338,0.989,6.042,4.944,1.282
0.152,-0.340,0.996,2.258,4.578,1.831
0.134,-0.327,0.986,-0.793,4.395,2.136
0.121,-0.321,0.972,-2.991,4.272,1.709
0.120,-0.324,0.953,-3.235,3.906,0.549
0.124,-0.327,0.949,-2.441,2.930,0.000
0.114,-0.321,0.942,-1.831,1.648,0.244
0.106,-0.316,0.928,-1.465,1.709,0.366
0.106,-0.314,0.919,-0.610,2.380,0.000
0.106,-0.319,0.915,0.305,3.113,0.000
0.104,-0.324,0.913,0.793,3.601,0.977
0.100,-0.326,0.902,0.244,4.150,1.953
0.093,-0.328,0.890,-0.671,4.578,2.563
0.086,-0.329,0.878,-1.892,4.211,2.808
0.078,-0.325,0.872,-2.380,2.869,2.441
0.068,-0.321,0.869,-2.136,1.770,2.014
0.065,-0.318,0.874,-0.793,0.732,0.916
0.060,-0.320,0.886,0.488,0.183,0.305
0.059,-0.317,0.899,2.136,0.183,-0.183
0.999,0.418,1.753,29.114,-24.414,0.488
1.250,0.686,2.084,38.879,-34.119,2.991
1.484,0.965,2.378,48.279,-39.490,12.024
1.631,1.138,2.487,52.307,-36.743,27.405
1.720,1.310,2.446,49.866,-29.053,45.349
1.703,1.556,2.351,43.274,-21.362,63.354
1.605,1.830,2.207,29.541,-18.982,78.308
1.435,2.060,2.059,5.737,-28.320,82.947
1.178,2.248,1.886,-32.166,-45.898,77.698
0.805,2.375,1.675,-78.491,-65.430,65.918
0.241,2.420,1.415,-120.422,-82.947,47.852
-0.476,2.480,1.121,-150.879,-96.680,24.292
-1.307,2.434,0.784,-166.077,-106.018,-5.920
-2.207,2.223,0.454,-158.203,-111.328,-45.959
