aX,aY,aZ,gX,gY,gZ
0.184,-0.322,1.936,21.118,-48.523,-1.831
0.043,-0.243,1.766,-0.549,1.831,-15.259
-0.101,-0.268,1.625,-12.024,28.198,-25.024
-0.149,-0.170,1.547,-29.602,34.851,-20.081
-0.196,-0.031,1.492,-47.363,34.546,-10.742
-0.133,0.023,1.557,-59.021,31.921,-5.798
-0.083,-0.037,1.629,-65.491,31.860,-6.348
-0.092,-0.082,1.631,-69.946,34.790,-10.315
-0.071,-0.088,1.643,-71.899,40.100,-13.062
-0.018,-0.050,1.686,-65.125,46.692,-12.634
0.038,-0.028,1.716,-53.406,52.673,-9.460
0.042,-0.073,1.689,-42.419,54.199,-8.911
-0.013,-0.081,1.606,-36.194,58.105,-10.254
0.002,-0.051,1.494,-33.508,65.857,-10.254
0.027,0.004,1.444,-31.738,69.275,-8.301
0.063,-0.046,1.401,-27.283,68.726,-7.080
0.024,-0.120,1.341,-21.729,60.730,-4.089
0.018,-0.147,1.318,-12.207,46.448,-0.488
0.061,-0.134,1.349,5.432,42.053,-0.610
0.105,-0.116,1.386,24.658,40.894,-0.549
0.110,-0.115,1.400,37.109,38.330,-0.061
0.128,-0.046,1.381,41.016,38.513,-0.793
0.176,0.038,1.421,40.466,40.894,-1.282
0.204,0.043,1.498,32.959,45.410,-1.404
0.215,0.061,1.500,18.860,53.162,-0.366
0.214,0.045,1.470,8.667,62.317,0.793
0.197,0.002,1.411,5.859,70.862,1.892
0.174,0.010,1.290,3.662,76.904,4.700
0.177,0.031,1.217,8.789,78.186,7.385
0.181,0.015,1.205,27.588,75.256,7.202
0.177,0.021,1.233,52.979,69.702,5.432
0.204,0.113,1.284,78.796,64.575,3.723
0.263,0.222,1.393,103.760,60.608,2.502
0.319,0.288,1.489,121.948,60.791,1.343
0.355,0.318,1.488,127.502,70.007,0.854
0.320,0.290,1.400,121.765,85.571,0.977
0.280,0.270,1.198,109.009,101.196,0.732
0.244,0.243,1.028,98.755,110.535,1.221
0.227,0.181,0.950,96.802,112.061,2.197
0.190,0.151,0.882,97.778,108.765,3.296
0.225,0.162,0.882,98.877,102.783,6.287
0.260,0.171,0.908,104.431,98.816,8.118
0.240,0.179,0.842,109.131,98.999,10.010
0.227,0.259,0.668,107.483,102.966,12.207
0.218,0.298,0.509,107.117,103.516,13.794
0.217,0.311,0.384,109.863,100.586,13.306
0.202,0.325,0.239,107.239,95.032,12.024
0.167,0.339,0.094,100.952,87.158,10.254
0.148,0.344,-0.066,93.445,80.505,10.742
0.150,0.322,-0.162,87.158,71.899,11.292
0.149,0.291,-0.234,81.970,66.650,9.583
0.131,0.245,-0.306,75.928,63.477,6.958
0.100,0.189,-0.390,69.641,59.021,5.554
0.084,0.156,-0.449,64.087,52.673,4.578
0.074,0.130,-0.505,63.049,45.288,2.686
0.071,0.117,-0.535,66.833,37.476,-0.610
0.092,0.112,-0.556,71.228,28.198,-4.456
0.098,0.129,-0.527,74.768,16.174,-8.789
0.089,0.120,-0.482,77.271,4.211,-15.015
0.080,0.100,-0.448,74.890,-5.676,-21.851
0.066,0.094,-0.406,67.566,-13.367,-26.917
0.055,0.100,-0.356,57.739,-18.005,-31.189
0.062,0.098,-0.291,45.959,-19.348,-34.241
0.082,0.083,-0.212,33.325,-21.851,-34.180
0.079,0.022,-0.162,18.066,-27.466,-32.288
0.059,-0.063,-0.114,-0.732,-35.278,-27.954
0.060,-0.119,-0.078,-21.301,-42.419,-21.484
0.075,-0.161,-0.060,-36.133,-48.401,-16.418
0.070,-0.203,-0.061,-41.809,-54.199,-14.771
0.073,-0.224,-0.051,-42.847,-59.937,-15.015
0.096,-0.214,0.000,-41.077,-66.895,-15.808
0.124,-0.204,0.086,-34.607,-73.792,-18.799
0.129,-0.188,0.167,-25.024,-79.346,-24.414
0.129,-0.180,0.258,-18.311,-81.909,-28.809
0.136,-0.172,0.354,-16.479,-81.787,-31.494
0.128,-0.177,0.422,-18.799,-78.979,-35.156
